更新,職缺,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,連結
2023/11/28,日商 日文外勤業務人員,創華股份有限公司,"1.定期與日本客戶開會報告進度。
2.針對客戶提出的交易條件、生產流程、產品要求作評估提供報價。
3.確認訂單掌握產品狀況，即時協調處理以準時出貨。
4.負責接待日本客戶
5.需會看圖面
6.有製造業相關經驗","國外業務,國內業務,國貿人員","月薪36,000~40,000元",全職,台中市太平區,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,一個月內,1人,2年以上,專科、大學,"工程學科類,商業及管理學科類,金屬加工相關",日文--聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘,不拘,"- 其他：1.日文程度2級以上者
2.熟金屬、塑膠等相關製品尤佳，有相關經驗者優先錄取
3.能配合加班及出差者,有出國研修的機會
4.如不會看圖面、肯學習者可","- 福利制度：獎 金 福 利：
1. 年終獎金
2 .生日禮金
休 假 福 利：
1.週休二日
2.特休
3.育嬰假/生理假
保 險 福 利：
1.勞保
2.健保
3.意外險
4.員工體檢
5.勞退6%
休 閒 福 利:
1.不定期聚餐
2.不定期員工旅遊
其 他 福 利:
1.員工制服
2.員工停車位",https://www.104.com.tw/job/428hs
2023/11/28,Sales Engineer 銷售工程師 (林口/台中/高雄),飛斯妥股份有限公司,"Job Responsibility:
•	Be responsible for sales of FESTO products, achieving turnover, profit and growth targets defined by Sales Manager in an assigned geographical area.
•	To carry out the account plan and strategy in an assigned geographical area
•	Develop new  customer and maintain the current customers and establish excellent customer relationships
•	Work closely with technical supports on delivery and installation of equipments.
•	Review and manage accounts receivable and minimize risk
•	Develop and maintain a comprehensive knowledge of the competitive product and their activity in the market.
•	The working location can be in Linkou, Taichung or Kaohsiung Office.","國內業務主管,專案業務主管,國內業務",待遇面議,全職,新北市林口區,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,週休二日,一個月內,1人,5年以上,大學以上,"機械工程相關,電機電子工程相關,工業工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"- 其他：Specialist Knowledge:
•	Technical knowledge (engineering)
•	Knowledge of products
•	Knowledge of supplier base
•	Knowledge of market/industry segments
•	Knowledge of Festo as a company
Skills:
•	Language Skills: Chinese, English business level
•	Computer Skills: MS-Office, CRM-tools knowledge (SFA), SAP
•	Others: Communication skills, Negotiating skills, Winning complex sales
Experience:
•	External to Festo: 3-5 years sales experience or technical experience background will be an advantage
•	Experience with new customer development","- 福利制度：◆ 優秀的人才值得好的待遇，Festo每年依照市場情況，修改薪酬理念，以確保有足夠的條件去招攬市場人才：
1. 依照職位敘薪原則，提供具競爭力的薪資待遇
2. 依照不同職級，規劃出不同類型的獎金
3. 對於後勤單位，每年年底撥補年終獎金作為犒賞
◆ Festo尊重與遵循當地法規，依照勞基法的規定足額投保保險，保障員工權益
1. 足額提撥勞保/健保/新制退休金
2. 另有公司團保規劃，眷屬一同享受保險福利
3. 意外險等險種
◆ 除了良好的薪酬規劃之外，員工活動亦是Festo關心的一部分，因此我們每年度規劃一系列的員工福利制度：
1. 年度國內旅遊
2. 員工慶生會
3. 家庭日
4. 成立職工福利委員會，讓員工享有更多福利
5. 年度尾牙舉辦
◆ 訓練發展，好的訓練發展規劃，將讓員工與公司一併成長，Festo於大中華區的總部(上海)規劃一系列的必修與選修課程，提供員工快速進入並適應自動化工業產業。
1.新人業務職前培訓，讓業務新人直接到上海接受最直接的職前訓練，除了可以學習到業務技巧/ 商務談判/ 行銷手法之外，更能直接體會到Festo的文化薰陶。
2.專業訓練：訓練部門每月依照需求提供不同的選擇課程，員工可依照需求報名
3.外部訓練，依照不同的部門需求，我們提供相對的外訓支持。
◆ Festo依照台灣市場狀況，提供多元化的請 / 休假制度，讓員工可以依照個人需求使用休假：
1.平日上班時間為08:30~17:30，中午休息1個小時，上班時間可彈性調整提早或晚到30分鐘。
2. 公司施行週休二日
3. 新人入職滿一年，提供優於勞基法的帶薪年假使用(12天起跳)
4. 一年30天的病假中，前7天為不扣薪的全薪病假
◆ 除了具競爭力的薪資、良好的休假制度以及訓練系統之外，另外也規劃了許多補助供員工申請，其中包含：
1.結婚禮金
2.生育津貼
3.旅遊補助
4.住院慰問金
5.公務手機通話費補助
6.出差加保旅遊不便險",https://www.104.com.tw/job/3cfnj
2023/11/26,生產線作業人員 /-新營廠,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,"1.家庭用紙生產線.抄造或加工生產作業配合
2.需配合輪班作業,
3.有堆高機證照或天車證照等其他相關專業證照尤佳
新營廠電話為網路電話-如有投履歷的同仁請留意會以03開頭的電話通知您面試.","其他機械操作員,機械加工技術人員","月薪28,000~38,500元",全職,台南市新營區,不需負擔管理責任,無需出差外派,日班/晚班/大夜班，需輪班,依公司規定,一個月內,2~4人,不拘,高中、專科、大學,"機械工程相關,工業技藝及機械學科類",不拘,不拘,不拘,"- 其他：高中職以上畢業者，(有天車證照或堆高機證照者佳), 輪班津貼或加班費，另外加給。
新營廠電話為網路電話-如有投履歷的同仁請留意會以03開頭的網路電話通知您面試","- 福利制度：1.公司營運績效獎金
2.職工褔利委員會:生日禮物(金)、勞動節禮品、年節禮物、年度旅遊補助、不定期褔利活動...
3.彈性上下班時間(不含工廠)
4.資深員工表揚
5.退休制度
6.團保計畫
7.休假制度
8.工廠供應免費午餐
9.員工健康檢查
10. EAP員工協助方案",https://www.104.com.tw/job/3zvrc
2023/11/23,輪班助理操作員(線上品檢)--中壢厰（新屋區）,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,"**職務內容**
1.協助機台操作、調整與基本故障排除
2.執行產品檢驗、合格放行。
3. TPM、5S等作業執行
4. 遵守品質與安全規定
5. 須配合輪班及加班
**福利制度**
-保障年薪 $466,000 (相當月薪 $38,800)
-每年四月調薪
-優於法令的年休假
-團體保險 (含壽險、意外險及醫療險; 涵蓋本人、配偶與子女)
-三節禮券、生日禮券、旅遊金、婚喪喜慶補助
-每季發放公司產品一箱
-完善的培訓制度
-免費餐點、宿舍
-每年免費健康檢查，專業醫師到公司諮詢及不定期開設健康講座
-制服、安全鞋等工作配備","作業員／包裝員,其他機械操作員,手工包裝工及有關工作者","月薪32,800元以上",全職,桃園市新屋區,不需負擔管理責任,無需出差外派,日班/晚班/大夜班，需輪班,依公司規定,不限,1人,不拘,專科、大學、碩士,不拘,英文--聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,"Excel,Outlook,PowerPoint,Word",不拘,,"- 福利制度：1.公司營運績效獎金
2.職工褔利委員會:生日禮物(金)、勞動節禮品、年節禮物、年度旅遊補助、不定期褔利活動...
3.彈性上下班時間(不含工廠)
4.資深員工表揚
5.退休制度
6.團保計畫
7.休假制度
8.工廠供應免費午餐
9.員工健康檢查
10. EAP員工協助方案",https://www.104.com.tw/job/73ctw
2023/11/23,技術服務部副理- 中壢廠（新屋區）,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,"1. 執行電氣及儀電相關工程專案規劃/發包/監工及驗收.
2. 協助製造及維修部門改善/升級電機及儀電相關設備.
3. 控制專案的預算及評估工程投資報酬率.
4. 專案管理及文書作業.
5. 緊急應變處理
6.人員管理","電機裝修工,電機工程技術員,工廠主管",待遇面議,全職,桃園市新屋區,管理5-8人,無需出差外派,日班,週休二日,一個月內,1人,8年以上,專科以上,不拘,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"Excel,PowerPoint,Word,AutoCAD","電機設備操作,電機設備保養修護,設備器材使用及維護,配電裝修維護,機務維修保養,機械產品故障排除檢修,電動機及電氣相關知識,改善設備問題及功能提昇","- 其他：1. 6年以上電氣自動控制及儀表規劃和設計的工程經驗優先錄用.
2. 熟悉及編輯 PLC 程式.
3. 熟悉CAD和P＆ID圖.
4. 能獨立作業及能支援其他團隊作業
5. 英語一般溝通能力","- 福利制度：1.公司營運績效獎金
2.職工褔利委員會:生日禮物(金)、勞動節禮品、年節禮物、年度旅遊補助、不定期褔利活動...
3.彈性上下班時間(不含工廠)
4.資深員工表揚
5.退休制度
6.團保計畫
7.休假制度
8.工廠供應免費午餐
9.員工健康檢查
10. EAP員工協助方案",https://www.104.com.tw/job/7aplc
2023/11/23,輪班生產技術員/儲備幹部-中壢廠（新屋區）,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,"**職務內容**
1. 機台操作、調整與基本故障排除
2. 換料送料
3. TPM、5S等作業執行
4. 遵守品質與安全規定
5. 須配合輪班及加班
**福利制度**
-保障年薪
-每年四月調薪
-優於法令的年休假
-團體保險 (含壽險、意外險及醫療險; 涵蓋本人、配偶與子女)
-三節禮券、生日禮券、旅遊金、婚喪喜慶補助
-每季發放公司產品一箱
-完善的培訓制度
-免費餐點、宿舍
-每年免費健康檢查，專業醫師到公司諮詢及不定期開設健康講座
-制服、安全鞋等工作配備","其他機械操作員,作業員／包裝員","年薪517,000元以上",全職,桃園市新屋區,不需負擔管理責任,無需出差外派,日班/晚班/大夜班，需輪班,依公司規定,不限,1~2人,不拘,高中、專科、大學,不拘,不拘,不拘,不拘,"- 其他：認真負責
具機械或電機電子背景為佳","- 福利制度：1.公司營運績效獎金
2.職工褔利委員會:生日禮物(金)、勞動節禮品、年節禮物、年度旅遊補助、不定期褔利活動...
3.彈性上下班時間(不含工廠)
4.資深員工表揚
5.退休制度
6.團保計畫
7.休假制度
8.工廠供應免費午餐
9.員工健康檢查
10. EAP員工協助方案",https://www.104.com.tw/job/3tss5
2023/11/22,半導體設備工程師(通日文或英文)(新竹),台灣芝浦先進科技股份有限公司,"液晶顯示面板生產設備/半導體生產設備/光碟生產設備/
各式自動化機器設備之維修服務.","產品售後技術服務,半導體設備工程師,半導體工程師","月薪32,000~45,000元",全職,新竹市,不需負擔管理責任,需出差，一年累積時間未定,日班，9:00~17:20(工時 7小時15分)，需輪班,週休二日,不限,2~3人,1年以上,專科、大學、碩士,"自然科學學科類,工程學科類,工業技藝及機械學科類","日文--聽 /中等、說 /中等、讀 /中等、寫 /中等,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等",不拘,不拘,"- 其他：1. 有工作熱忱/認真負責
2. 可國/內外出差
3. 有汽車駕照
4. 對機台裝機/維修有興趣
5. 日文能力檢定3級以上，通英文尤佳
6. 1年以上半導體相關產業經驗。
7. 可以配合輪流on-call或加班者","- 福利制度：1. 勞、健保、勞工退休金提繳
2. 享團保(含眷屬)
3. 一年2次(夏季及年終)之優渥獎金
4. 年度旅遊補助金
5. 每年健康檢查補助金
6. 週休二日
7. 有日本原廠學習機會
8. 享特休及各項福利",https://www.104.com.tw/job/6invo
2023/11/22,日文業務助理/採購助理管理師,台灣芝浦先進科技股份有限公司,"1,與日本總公司作業聯絡。
2.部品進/出貨協調與確認及庫存數量管理。
3. 進、出口業務相關作業及聯絡。
4. 相關文件的製作、整理與維護。
5. 其他主管交辦事務處理。","業務助理,國貿人員,採購助理","月薪33,000~38,000元",全職,新竹市,不需負擔管理責任,無需出差外派,日班，9:00~17:20(工時 7小時15分),週休二日,不限,1人,1年以上,專科、大學、碩士,"商業及管理學科類,日文相關科系","日文--聽 /中等、說 /中等、讀 /中等、寫 /中等,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等","Excel,Outlook,PowerPoint,Word,鼎新","熟悉進出口業務,國際貿易基本概念,半導體材料採購","- 其他：1,一年以上業務助理、進出口相關經驗。
2,熟鼎新WorkFlowERP會計系統尤佳。
3,有工作熱忱、認真負責、處事細心、溝通積極。
4,新竹市居住尤佳。
5,需通日文(N2以上檢定合格)。","- 福利制度：1. 勞、健保、勞工退休金提繳
2. 享團保(含眷屬)
3. 一年2次(夏季及年終)之優渥獎金
4. 年度旅遊補助金
5. 每年健康檢查補助金
6. 週休二日
7. 有日本原廠學習機會
8. 享特休及各項福利",https://www.104.com.tw/job/7p5fk
2023/11/22,System Engineer,台灣昕諾飛股份有限公司,"We’re looking for a System Engineer to join our Professional Project Team in Taipei.
Working for Signify means being creative and adaptive. Our culture of continuous learning and commitment to diversity and inclusion creates an environment that allows you to build your skills and career. Together, we’re transforming our industry.
As the world leader in lighting, we’re constantly ahead of the curve. Through our leadership in connected lighting and the Internet of Things, we’re breaking new grounds in data analytics, AI, and smart homes, offices, cities and more!
Signify is one of the few companies in the world to achieve carbon neutrality and our next sustainability goals are even bolder: doubling our positive impact on the environment and society by 2025.
As a System Engineer you’ll be responsible for :
•    Work with Architecture Manager and Proposal to support pre-sales activities: system design and illustration, BOQ generation, attending customer meetings as technical support, drafting commissioning plan;
•    Work with Project Managers for project delivery planning and execution;
•    Lead system commissioning process and SAT;
What you’ll do
•	Develop detailed design for the relevant programmable building blocks of the solution to deliver;
•	Review/ verify the control design, schematics and drawings delivered by the Technical Designer;
•	Build mock-ups to test inter-operability and/or features of the sub-system;
•	Perform remote and on-site commissioning;
•	Provides technical expertise in sales presentations, product demonstrations, installation, and maintenance Fix issues upon the request of the Architect Manager;
•	Preparation of system testing and turnover documentation including scoped documents, test records, test procedures and other similar required documents;
•	Oversee and coordinate 3rd party Subcontractors as required;
•	Participate in system turnover walkdowns for both Construction and Customer; initiate, track and resolve punch-list items for assigned areas of responsibility;
•	Develop, train and deploy user instruction/ manuals to customer organization during handover;
•	Work with all Stakeholders in the creation of quotes for architectures selected, system additions and upgrades;
Your qualifications
•	Diploma/Degree in Electrical, Electronics, Instrumentation, Control or Computer Engineering;
•	Fluent in English;
•	Be flexible with working hours (with compensation);
•	Knowledge and experience in indoor or outdoor lighting control systems or protocols such as DALI or DMX, telecommunication systems and networks, field communication bus such as BACnet or Modbus, are added advantages;
•	Knowledge and experience in Windows server setup, API application, LAN network and cloud application, are added advantages;
•	AutoCAD knowledge;
•	Take initiative, accepts responsibilities and has a sense of urgency;","專案經理,專案管理主管,專案業務主管",待遇面議,全職,台北市南港區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1人,不拘,大學以上,電機電子工程相關,不拘,不拘,不拘,,"- 福利制度：多元性
機會均等
訓練與發展
職涯規劃
個人之職能發展及前程規劃
計畫性工作輪調化
職位升遷
晉升雙軌制（技術職、管理職）
接班人計劃
海內外專業訓練
學習型組織
薪資與福利
優渥的薪資待遇
優於勞基法的休假制度
健全的福委會
員工社團活動
定期身體健康檢查
工作與生活
人性化的工作環境
資訊透明及多樣化之溝通管道",https://www.104.com.tw/job/867vd
2023/11/16,倉儲專員 (Warehouse Associate),日煙國際製造股份有限公司,"本招募持續開放中，直至確定人選為止
部門： 供應鏈及生產管理部-倉儲單位
工作地點： 台南市, 台灣
直屬主管： 倉儲經理
職位： 正職員工
職務內容—目的
任職者負責倉庫中所有物料往來的即時及準確性，以確保物料庫存的正確性。該職務人員須負責確保安全與正確的保存物料，以及所有運輸往來皆在倉庫IT系統中精準地記錄。
您的工作 – 職責
倉儲管理
-針對所有入庫的物料進行入庫及出庫需求，並確保所有物料的數量及正確性。
-根據發票、交貨清單及進貨確認資料去準備正確的交貨文件。
-及時及準確的控制物料管理，以提供正確的物料週期。
-所以卸貨、裝貨及物料管理及製造部的物料問題皆須按照計畫並即時準確執行。
-將所有物料入庫並放置在倉儲，防止任何受損，遺失及偷竊。做好所有維護工作去保護物料品質並維持倉庫良好的整潔。
系統
-在倉庫IT系統中準確紀錄所有異動情形，例如物料領取、入庫、庫存差異、存放位置及物料發放。
類別
-確保倉庫IT系統中登記的所有數據與實際數量相符。並依據物料進出規律及存貨數量的規律進行必要的登記及記錄於其他相關文件，報表等。
-遵循文件管理流程及存放方式的相關規定。
其他
依據主管交代其他代辦事項。
This job advertisement will remain open until filled.
Department: Warehouse Management
Location: Tainan City, Taiwan
Reporting to: Warehouse Manager
Role: Permanent
WHAT IS THIS POSITION ABOUT - PURPOSE
The incumbent is responsible for in time and accurate realization of all material movements in the warehouse to ensure correctness in material stock and movements (all movements according to the plan).
This person is responsible for ensuring correct and safe ways of material storage and that all physical movements are online and accurately registered in the warehouse IT system.
WHAT WILL YOU DO - RESPONSIBILITIES
Warehouse Management
Picking up and unloading deliveries of all incoming material to the warehouse, confirming quantity and physical conditions of the material.
Preparing correct documentation of deliveries based on invoice, delivery list, and confirming documents of inbound process.
Control in time and accurate execution of material movements in order to provide correct material flow.
All unloading, loadings, material movements, and material issues to production departments need to be executed on time and according to the plan.
Placement of all inbounded material in the warehouse, protecting them against damages, losses, and stealing, making all treatments/maintenance tasks to protect the quality of material, and sustaining a good level of cleanliness in the warehouse.
System
Online (parallel to physical movement) registering of material movements in warehouse IT system, such as material pick up, putting material into the bin, material inbound, stock difference, changing the physical location of material, material issue, and material shipment.
Category
Ensuring that all data registered in the warehousing IT system are equal to the physical quantity in the warehouse. Conduct all needed registrations according to the law of material movements and stored material quantity, as well as all other registrations, lists, schedules, reports, etc. Follow all rules connected with documentation flow and way of storing them.
Other
Manage various tasks and projects as they arise and upon the manager's request.","倉管,倉儲物流人員",待遇面議,全職,台南市安南區,不需負擔管理責任,無需出差外派,"日班/晚班，Day shift/Night shift, two days off shifts are required，需輪班",依公司規定,一個月內,1人,1年以上,專科、大學、碩士,不拘,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,"Excel,Outlook,PowerPoint,Word","商品進貨入庫作業,盤點作業規劃執行,安排出貨管理及統計,倉庫貨物標示╱置放╱盤點,倉管流程訂定與管理,倉儲系統維護與管理,庫存管理規劃作業,商品收貨╱退貨作業,理貨╱揀貨╱補貨作業,簽收╱驗收作業","- 其他：我們要找的對象?
必須具備:
-大學/專科學歷
-至少1年以上倉儲相關學經歷
-開放應屆畢業生
-流利的中文及良好的英文溝通能力
-熟悉MS Office作業系統，excel及PowerPoint尤佳
-功能性技能： 組織溝通能力及簡報表達能力
WHO ARE WE LOOKING FOR?
Must-Have:
-University graduate
-1 year of experience in Warehouse Management is a plus
-Open for Fresh Graduates with no experience.
-Fluent in Chinese and Good English communication skills
-MS Office applications, especially Excel and PowerPoint
-Functional Skills: Organizational Skills and Presentation Skills","- 福利制度：◆ 獎金 / 禮品類
1.	獎勵計畫：按公司營運績效及組織目標成效給與獎金。
2.	三節禮金/禮品
3.	久任獎勵
◆ 保險類
1.勞、健保
2.員工團保(員工、員工配偶及子女享有免費團體保險)
◆ 請 / 休假制度
1.優於勞基法之特休制度(新進員工到職當月即享有特休假(依第一年服務期間比例給予特休))
2.充電假
3.全薪病假(須提供相關佐證資料)
◆ 其他
1.年度健康檢查
2.員工用餐免費、提供免費咖啡
3.醫務室，具專業護士駐廠並有駐廠醫師定期問診
4.生日禮金、生育及婚喪賀奠
5.設有各式公司社團及社團經費補助
6.舒壓區：桌上足球台、按摩椅、書報雜誌
7.不定期的公司活動 (節慶活動、Team Building…)
8.員工旅遊補助
【 部分福利僅全職人員適用 】",https://www.104.com.tw/job/84om6
