更新,職缺,公司,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,連結
2023/12/21,卓越營運工程師（IWS培訓師）(Operational Excellence Engineer (IWS Trainer)),日煙國際製造股份有限公司,"這個職位是關於什麼的？
作為 IWS 工程師培訓師，您將透過車間內的整合工作系統 (IWS) 建立生產、品質和持續改進等操作領域。
你會怎麼做？
培訓與輔導
- 為 DMS 所有者和線上工作人員提供各知識領域（流程、維護、領導力）的培訓和指導，以便運行 RTT 部署。
- 根據 IWS 理念，透過提供培訓和輔導活動，促進各自工廠內觀念的轉變。
- 支援單元結構團隊和生產線團隊開發培訓材料和 OPL 文檔，並確保目標受眾可以存取這些材料。
IWS工具開發
- 支援 DMS 所有者和線路工作人員了解、使用和進一步開發 IWS 工具。
培養熟練的人力資源
- 指導直接向現任領導報告的管理團隊的專業發展。
- 確保具有足夠技能水準的人力資源的持續可用性。
- 員工的培訓和發展。
溝通與報告
- 報告在生產線上觀察到的與工具、DMS、DDS 和其他相關的 IWS 標準的所有偏差
其他
- 根據經理的要求管理出現的各種任務和專案。
WHAT IS THIS POSITION ABOUT?
As an IWS Engineer Trainer, you will gain exposure in operation areas including Producing, Quality, and Continuous Improvement by Integrated Working System (IWS) building on the shop floor.
WHAT WILL YOU DO?
Training & Coaching
- Deliver training and coaching for DMS owners and line crew on respective knowledge areas (Process, Maintenance, Leadership) in order to run RTT deployments.
- Contribute to mindset change within the respective factory through training delivery and coaching activities, in line with the IWS concept.
- Support Cell Structure Team and Line Team in developing training materials, and OPLs documentation and ensure those are accessible to the target audience.
Development of IWS tools
- Support DMS owners and line crew in understanding, using, and further development of IWS tools.
Development of Skilled Human Resources
- Guide the professional development of the management team reporting directly to the incumbent.
- Ensure the consistent availability of human resources with adequate skill levels.
- Training and development of employees.
Communication & Reporting
- Report all deviations from IWS standards observed on the production line in regards to tools, DMSs, DDSs, and other related
Other
- Manage various tasks and projects as they arise and upon the manager’s request.","品管／品保工程師,生產技術／製程工程師",待遇面議,全職,台南市安南區,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1人,5年以上,大學以上,"工程學科類,數學及電算機科學學科類","英文--聽 /精通、說 /精通、讀 /精通、寫 /精通,中文--聽 /精通、說 /精通、讀 /精通、寫 /精通","Excel,PowerPoint","產品生產製程規劃及工時估算,提出生產標準改良方案,提昇設備產能稼動率與生產效率","- 其他：我們在找誰？
一定有：
- 擁有工程、科學或相關學科的大學學位
- 在相關領域沒有經驗到 10 年經驗者優先。
- 製造流程改進，包括效率、產量和品質改進。
- 英語和中文用於有效的口頭和書面溝通
- 高度參與學習以外的活動，具有潛在的領導技能
- 高度投入和自我驅動的個性
- 有在跨國快速消費品製造公司發展職業生涯的雄心和願望。
- 良好的團隊合作精神，具有出色的影響力
- 以主人翁態度自我激勵
WHO ARE WE LOOKING FOR?
Must-Have:
- University degree holder in Engineering, Science, or a related discipline
- No experience to 10 years of experience in a relevant area is preferred.
- Manufacturing Process improvement, including efficiency, yield, and quality improvement.
- English and Chinese language for effective verbal and written communication
- High engagement in activities beyond studies with potential leadership skills
- Highly committed and self-driven personality
- Ambition and desire to build a career in a multi-national FMCG manufacturing company.
- Good team player with excellent influence skill
- Self-motivated with an ownership attitude","- 福利制度：◆ 獎金 / 禮品類
1.	獎勵計畫：按公司營運績效及組織目標成效給與獎金。
2.	三節禮金/禮品
3.	久任獎勵
◆ 保險類
1.勞、健保
2.員工團保(員工、員工配偶及子女享有免費團體保險)
◆ 請 / 休假制度
1.優於勞基法之特休制度(新進員工到職當月即享有特休假(依第一年服務期間比例給予特休))
2.充電假
3.全薪病假(須提供相關佐證資料)
◆ 其他
1.年度健康檢查
2.員工用餐免費、提供免費咖啡
3.醫務室，具專業護士駐廠並有駐廠醫師定期問診
4.生日禮金、生育及婚喪賀奠
5.設有各式公司社團及社團經費補助
6.舒壓區：桌上足球台、按摩椅、書報雜誌
7.不定期的公司活動 (節慶活動、Team Building…)
8.員工旅遊補助
【 部分福利僅全職人員適用 】",https://www.104.com.tw/job/86oob
2023/12/19,儀電工程師,德商_國聯矽業化學股份有限公司,"1.有3年化工廠工作經驗
2.有2年工廠電力維修經驗
3.電力系統規劃維修保養
4.儀表儀電機設備維修保養。
5.指導現場技術員維修工作及故障排除。
6.設備優化","電機技師／工程師,電力工程師,機電技師／工程師",待遇面議,全職,桃園市大園區,不需負擔管理責任,無需出差外派,日班,週休二日,可年後上班,1人,2年以上,大學、碩士,"化學工程相關,電機電子工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,"微機電系統設計,電力工程裝修與控制,電工儀表裝置使用,電動機及電氣相關知識,電機設備保養修護,電機設備操作,機務維修保養,機電儀表工具使用,設備器材使用及維護","- 其他：1. 電機工程、自動控制相關專業畢業；
2. 具PLC程式撰寫經驗，
3. 熟悉DCS系統
4. 具備產品電子電路設計與開發、系統規劃、系統配線、電機線路規劃設計相關經驗；
5. 具備機械配線、配盤、配電組裝、識電路圖、配電相關經驗者佳；","- 福利制度：1.	獎金類: 全勤獎金/年節獎金/年終獎金/保障年薪13個月/久任獎金/年度考核調薪制度
2.	休假制度
▲ 週休二日，政府補班日公司不用補班
▲特休/年假：優於勞基法:工作滿6個月給假3天、滿一年以上未滿三年者給假12天、滿三年以上未滿五年者給假14天、滿五年以上未滿十年者給假18天、工作十年以上每滿一年加予1天，加至三十天為止
3.	保險類:享勞健保、退休金等法定福利外，並提供優於業界免費團體保險(其內容涵蓋本人、配偶及子女
4.	輪班人員-中夜班津貼
5.	設置職工福利委員會提供三節、生日禮金、員工子女獎學金補助、年度員工旅遊等活動
6.	年度尾牙/春酒活動與員工同歡。
7.	提供冬夏制服
8.	每年提供免費同仁健檢
年終獎金,國內旅遊,國外旅遊,可遠端/在家上班,不用補班",https://www.104.com.tw/job/86jkr
2023/12/15,[電氣與自動化] Technical Engineer - CS 輸配電系統維護技術工程師,SIEMENS_西門子股份有限公司,"What you will do:
1. Act as service team product specialist (MV&LV Switchgear, protection relay or SCADA) to  support technical clarification, customer product application, or trouble shooting related topic in both promotion phase and execution phase.
2. Coordinate with team member and 3rd party to develop and deliver consulting service to customer.
3. Lead technical discussion with HQ and support local team on standardization or optimization in documentation, promotion/training materials and daily operation process.
4. Bridge and facilitate the communication and collaboration between sales and execution team.
What we are looking for:
* University or above degree in Electrical/Electronic Engineering
* Minimum 1~3 years experiences in power distribution or energy automation related field
* Self-motivated and be able to work independently.
* Knowledge in power distribution related product, e.g. MV/LV Switchgear, CB, Relay or SCADA
* English level: Medium or high.
* Based in Taipei or Taichung. Be able to travel within Taiwan.","機電技師／工程師,自動控制工程師,業務支援工程師",待遇面議,全職,台中市西屯區,不需負擔管理責任,需出差，一年累積時間未定,日班,依公司規定,不限,1人,3年以上,大學、碩士,"電機電子工程相關,電機電子維護相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,- 其他：,"- 福利制度：【薪資待遇】
◆ 具市場競爭力的薪酬
◆ 員工認股計畫
◆ 獎金/禮品類 端午、中秋、春節三節禮金
【員工福利】
◆ 保險類
1.勞保 2.健保 3.員工團保 4.眷屬團保 5.意外險 6.職災保險
(包括員工團體定期壽險、員工團體意外保險、員工及眷屬之團體健康保險、員工及
眷屬之防癌保險， 上述團保保費由公司全額負擔)
◆ 補助類
1. 結婚禮金 2.生育津貼 3.退休金提撥 4.公務機通話費補助 5.喪葬慰問金 6.社團補助
◆ 請 / 休假制度
1. 週休二日 2.優於勞基法之年假/特休 3.旅遊假 4.陪產假及男性員工陪產檢假 5.不扣
薪病假 6.女性同仁生理假 7.給薪志工假 8.西門子特別假日
◆ 彈性工作
1. 彈性的工作地點和時間，提供遠距離Remote Working
◆ 休閒類 (職工福利委員會- 適用於西門子正式員工)
1. 國內旅遊補助 2.國外旅遊補助 3.社團活動 (籃球社、羽球社、登山野營社、慢跑
社等)
◆ 其他
1. 年度健康檢查 2.流感疫苗補助 3.員工按摩福利
【職業發展】
◆ 人才推薦獎金
◆ 與時具進的績效評估制度
◆ 海內、外及線上教育訓練
◆ “Own Your Career”- 鼓勵員工掌握自己的職涯發展，充分發揮潛能
◆ 透過員工意見調查/員工大會/勞資會議，瞭解員工需求，力求改善，創造更好的工作環境
【公司環境設備】
1. 新穎開放的辦公環境 2.哺乳室 3.免費現磨咖啡與茶包
西門子股份有限公司致力於維護身心障礙者就業權益，依身心障礙者權益保障法，歡迎持有身障手冊或證明者加入西門子公司。本公司堅守就業服務法第五條之規定，提供平等的就業機會，同時致力於打造一個包容和多元性的工作環境，以實現每位員工的潛力。
員工認股,年終獎金,三節獎金/禮品,咖啡吧,員工舒壓按摩,生活工作諮詢,旅遊假,不扣薪病假,結婚禮金,生育津貼,社團補助,旅遊補助,退職金提撥,電信費補助,國內旅遊,國外旅遊,部門聚餐,社團活動,家庭日,配發公務機,特約商店,優於勞基法特休,員工團體保險,可遠端/在家上班,不用補班",https://www.104.com.tw/job/86x74
2023/12/13,[智慧基礎建設] Senior Project Engineer 資深專案工程師,SIEMENS_西門子股份有限公司,"What you will do:
1. Responsible for project budget/cost control to ensure that the profit/risk of the project is controlled and the accuracy of the turnover forecast.
2. Responsible for the management of subcontractors and third-party suppliers to achieve project quality and project progress goals
3. Pre-sales support to confirm project scope and assist in estimating bidding costs
4. Mainly in the field of building automation and fire/security system engineering projects, with general knowledge in this field.
keywords: 建築物⾃動化; ELV; 弱電; 中央監控 BMS ; ⾨禁; ⼯程管理; 專案管理
What we are looking for:
1. University or above degree in the engineering or related field.
2. 5 years of experience in project engineering management. (中央監控、弱電專案工程管理經驗)
3. Excellent verbal and written communication skills, ability to present and explain to others, and gains understanding.
4. Strong teamwork spirit, interpersonal skills and problem-solving skills.
5. Good command of English and Mandarin (English: TOEIC 600 or above)
6. Project management certification will be an added advantage
7. Building technologies, IOT integration or ELV system experience is a plus.","專案管理主管,機械工程師,電子工程師",待遇面議,全職,台北市南港區,不需負擔管理責任,需出差，一年累積時間未定,日班,依公司規定,不限,1人,4年以上,大學、碩士,"電機電子工程相關,電機電子維護相關,工業工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,"專案成本╱品質╱風險管理,專案時間╱進度控管,專案規劃執行╱範圍管理,專案溝通╱整合管理,專案管理架構及專案說明",,"- 福利制度：【薪資待遇】
◆ 具市場競爭力的薪酬
◆ 員工認股計畫
◆ 獎金/禮品類 端午、中秋、春節三節禮金
【員工福利】
◆ 保險類
1.勞保 2.健保 3.員工團保 4.眷屬團保 5.意外險 6.職災保險
(包括員工團體定期壽險、員工團體意外保險、員工及眷屬之團體健康保險、員工及
眷屬之防癌保險， 上述團保保費由公司全額負擔)
◆ 補助類
1. 結婚禮金 2.生育津貼 3.退休金提撥 4.公務機通話費補助 5.喪葬慰問金 6.社團補助
◆ 請 / 休假制度
1. 週休二日 2.優於勞基法之年假/特休 3.旅遊假 4.陪產假及男性員工陪產檢假 5.不扣
薪病假 6.女性同仁生理假 7.給薪志工假 8.西門子特別假日
◆ 彈性工作
1. 彈性的工作地點和時間，提供遠距離Remote Working
◆ 休閒類 (職工福利委員會- 適用於西門子正式員工)
1. 國內旅遊補助 2.國外旅遊補助 3.社團活動 (籃球社、羽球社、登山野營社、慢跑
社等)
◆ 其他
1. 年度健康檢查 2.流感疫苗補助 3.員工按摩福利
【職業發展】
◆ 人才推薦獎金
◆ 與時具進的績效評估制度
◆ 海內、外及線上教育訓練
◆ “Own Your Career”- 鼓勵員工掌握自己的職涯發展，充分發揮潛能
◆ 透過員工意見調查/員工大會/勞資會議，瞭解員工需求，力求改善，創造更好的工作環境
【公司環境設備】
1. 新穎開放的辦公環境 2.哺乳室 3.免費現磨咖啡與茶包
西門子股份有限公司致力於維護身心障礙者就業權益，依身心障礙者權益保障法，歡迎持有身障手冊或證明者加入西門子公司。本公司堅守就業服務法第五條之規定，提供平等的就業機會，同時致力於打造一個包容和多元性的工作環境，以實現每位員工的潛力。
員工認股,年終獎金,三節獎金/禮品,咖啡吧,員工舒壓按摩,生活工作諮詢,旅遊假,不扣薪病假,結婚禮金,生育津貼,社團補助,旅遊補助,退職金提撥,電信費補助,國內旅遊,國外旅遊,部門聚餐,社團活動,家庭日,配發公務機,特約商店,優於勞基法特休,員工團體保險,可遠端/在家上班,不用補班",https://www.104.com.tw/job/7zwts
2023/12/12,[電氣與自動化] Project Engineer - CS 輸配電系統維護專案工程師,SIEMENS_西門子股份有限公司,"What you will do:
1.  Clarify and confirm customer's needs and define the project scope, function, product or service delivery, focusing on protection relay and SCADA field.
2.  Support switchgear and circuit breaker maintenance, repair and modification related service site survey or project.
3.  Lead service project in planning and execution phase, including and not limited by work planning, technical support, participating necessary internal/external meeting, and coordinating with both internal and external service project stakeholders.
4. Build up the competence in engineering, device testing, analysis, trouble shooting and training in protection relay, power SCADA, and digitalization field.
5. Prepare and manage projects related and internal review documentation.
6. Work location: scientific or industrial park, based on the company's arrangement.
What we are looking for:
1. Three years of project management & engineering experience in Power and SCADA projects.
2. Passion in deepening technical knowledge in Protection and SCADA field but not limited by the assigned field.
3. Experience of software programing for Relay & SCADA projects.
4. Good Chinese and English communication skills.","機電技師／工程師,自動控制工程師,客服工程師",待遇面議,全職,台中市西屯區,不需負擔管理責任,需出差，一年累積時間未定,日班,依公司規定,不限,1人,3年以上,大學、碩士,"電機電子工程相關,電機電子維護相關,資訊工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,AutoCAD,不拘,"- 其他：1. Familiar with Microsoft Office (Word, Excel, Power Point).","- 福利制度：【薪資待遇】
◆ 具市場競爭力的薪酬
◆ 員工認股計畫
◆ 獎金/禮品類 端午、中秋、春節三節禮金
【員工福利】
◆ 保險類
1.勞保 2.健保 3.員工團保 4.眷屬團保 5.意外險 6.職災保險
(包括員工團體定期壽險、員工團體意外保險、員工及眷屬之團體健康保險、員工及
眷屬之防癌保險， 上述團保保費由公司全額負擔)
◆ 補助類
1. 結婚禮金 2.生育津貼 3.退休金提撥 4.公務機通話費補助 5.喪葬慰問金 6.社團補助
◆ 請 / 休假制度
1. 週休二日 2.優於勞基法之年假/特休 3.旅遊假 4.陪產假及男性員工陪產檢假 5.不扣
薪病假 6.女性同仁生理假 7.給薪志工假 8.西門子特別假日
◆ 彈性工作
1. 彈性的工作地點和時間，提供遠距離Remote Working
◆ 休閒類 (職工福利委員會- 適用於西門子正式員工)
1. 國內旅遊補助 2.國外旅遊補助 3.社團活動 (籃球社、羽球社、登山野營社、慢跑
社等)
◆ 其他
1. 年度健康檢查 2.流感疫苗補助 3.員工按摩福利
【職業發展】
◆ 人才推薦獎金
◆ 與時具進的績效評估制度
◆ 海內、外及線上教育訓練
◆ “Own Your Career”- 鼓勵員工掌握自己的職涯發展，充分發揮潛能
◆ 透過員工意見調查/員工大會/勞資會議，瞭解員工需求，力求改善，創造更好的工作環境
【公司環境設備】
1. 新穎開放的辦公環境 2.哺乳室 3.免費現磨咖啡與茶包
西門子股份有限公司致力於維護身心障礙者就業權益，依身心障礙者權益保障法，歡迎持有身障手冊或證明者加入西門子公司。本公司堅守就業服務法第五條之規定，提供平等的就業機會，同時致力於打造一個包容和多元性的工作環境，以實現每位員工的潛力。
員工認股,年終獎金,三節獎金/禮品,咖啡吧,員工舒壓按摩,生活工作諮詢,旅遊假,不扣薪病假,結婚禮金,生育津貼,社團補助,旅遊補助,退職金提撥,電信費補助,國內旅遊,國外旅遊,部門聚餐,社團活動,家庭日,配發公務機,特約商店,優於勞基法特休,員工團體保險,可遠端/在家上班,不用補班",https://www.104.com.tw/job/82qxb
2023/12/04,Application Engineer  技術服務工程師,德商Henkel _ 台灣漢高股份有限公司,"YOUR ROLE
1.	Lead new business project with innovation product via working with R&D and Sales Team
2.	Grow new business with existing product via working with Sales Team
3.	Maintain existing business
4.	Acknowledge and drive lab test to provide technical solution to customers
YOUR ROLE CAN OFFER YOU
1.	Opportunities to lead/drive projects with global/local team
2.	Acknowledging various product technology in IC packaging field
3.	Independence expansion space to develop technical solution with lab resource
4.	Smart work environment
5.	Developing ability of influencing without authority
YOUR SKILLS
1.	5-10 yrs IC packaging experience
2.	Being familiar with chip level underfill technology (priority) or die attach technology
3.	Communicating ability with English
4.	Sharing learning and being proactive
5.	Independent thinking","化工化學工程師,材料研發人員",待遇面議,全職,新竹縣竹北市,不需負擔管理責任,需出差，一年累積時間未定,日班,週休二日,不限,1人,8年以上,大學以上,不拘,英文--聽 /中等、說 /中等、讀 /精通、寫 /精通,不拘,"化學檢測儀器操作,實驗室設備操作",,"- 福利制度：◆ 獎金 / 禮品類
1.年終獎金
2.生日禮金/禮品
◆ 保險類
1.員工團保
2.眷屬團保
◆ 制度類
1.介紹獎金
2.績效獎金
3.員工提案獎金
4.優惠退休金辦法
◆ 請 / 優渥休假制度
1.特休/年假
◆ 其他
1.每年健康檢查
2.配發公務手機(業務人員)
◆ 補助類
1.旅遊補助
2.公務機通話費補助(業務人員)
**以上福利項目台灣漢高並將依集團策略及營運現況調整**",https://www.104.com.tw/job/8328l
2023/12/01,業務工程師 Sales Engineer,台灣豪頓股份有限公司,"1. Discover new potential clients, and present Howden products to meet the clients' needs / 開發新客戶，配合客戶需求提供適合之產品。
2. Assess customer enquiries for Howden products and establish scope of work and commercial proposal or service up-grade / 評估客戶詢價資料並針對需求建立供應範圍與報價資料。
3. Develop long-term relationships with clients, through managing and interpreting client requirements / 了解及管理客戶之需求，並藉此建立長期合作關係。
4. Negotiate tender and contract terms and conditions to meet both client and company objectives / 商務契約條款協議。
5. Audit new suppliers, and monitor existing suppliers in order to maintain the quality / 開發供應商，並確保既有供應商之品質。","國內業務,產品行銷企劃,業務支援工程師","月薪50,000~75,000元",全職,新北市新莊區,不需負擔管理責任,需出差，一年累積時間約六個月以下,日班,週休二日,不限,1~2人,2年以上,大學、碩士,"工程學科類,工業技藝及機械學科類","中文--聽 /精通、說 /精通、讀 /精通、寫 /精通,英文--聽 /精通、說 /精通、讀 /精通、寫 /精通",Outlook,"客戶資料更新維護,業務或通路開發,業績目標分配與績效達成,產品介紹及解說銷售",- 其他：熟悉氣體轉動設備（壓縮機、鼓風機、氣渦輪機）、氫能相關資訊與環保政策者佳。,"- 福利制度：1. 休假比照勞基法制定之制度
2.  教育訓練機會
3. 每年運動津貼3萬, 需任期滿3個月以上,視個人表現核定
4. 生日禮金及三節禮金, 需任期滿3個月以上,視個人表現核定
5. 年終獎金,需任期滿3個月以上,視個人表現核定
6.  每月一次居家辦公,需任期滿3年月以上,視個人表現核定
7. 提供個人終生醫療保險需任期滿3年月以上,視個人表現核定
8. 每任職滿5年, 需任期滿3年月以上,視個人表現核定 ,則贈送黃金金幣1盎司",https://www.104.com.tw/job/7cuke
2023/11/30,新產品研發工程師,日商_台灣太陽油墨股份有限公司,"1. 專案可行性評估。
2. 既有材料改良或新材料開發。
3. 材料選擇, 評估, 開發, 測試, 最終順利量產。
4. 與事業開發或營業人員配合進行新事業開發(從材料研發角度)。","化工化學工程師,材料研發人員,特用化學工程師",待遇面議,全職,桃園市觀音區,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,不限,2年以上,大學、碩士,"化學相關,化學工程相關,材料工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"- 其他：1.具化工材料相關背景，有接著劑開發相關經驗尤佳。
2.具團隊精神、責任感及抗壓性。","- 福利制度：1. 三節禮金
2. 生日禮金
3. 改善提案獎金
4. 尾牙模彩活動/中秋晚會
5. 年度健康檢查
6. 提供工作服清洗
7. 員工旅遊
8. 部門聚餐
9. 提供員工停車位
10. 提供交通車(中壢→公司；桃園→公司；桃園高鐵→公司；新莊→泰山→公司）",https://www.104.com.tw/job/7m00k
2023/11/28,Sales Engineer 銷售工程師 (林口/台中/高雄),飛斯妥股份有限公司,"Job Responsibility:
•	Be responsible for sales of FESTO products, achieving turnover, profit and growth targets defined by Sales Manager in an assigned geographical area.
•	To carry out the account plan and strategy in an assigned geographical area
•	Develop new  customer and maintain the current customers and establish excellent customer relationships
•	Work closely with technical supports on delivery and installation of equipments.
•	Review and manage accounts receivable and minimize risk
•	Develop and maintain a comprehensive knowledge of the competitive product and their activity in the market.
•	The working location can be in Linkou, Taichung or Kaohsiung Office.","國內業務主管,專案業務主管,國內業務",待遇面議,全職,新北市林口區,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30~17:30,週休二日,一個月內,1人,5年以上,大學以上,"機械工程相關,電機電子工程相關,工業工程相關",英文--聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,"- 其他：Specialist Knowledge:
•	Technical knowledge (engineering)
•	Knowledge of products
•	Knowledge of supplier base
•	Knowledge of market/industry segments
•	Knowledge of Festo as a company
Skills:
•	Language Skills: Chinese, English business level
•	Computer Skills: MS-Office, CRM-tools knowledge (SFA), SAP
•	Others: Communication skills, Negotiating skills, Winning complex sales
Experience:
•	External to Festo: 3-5 years sales experience or technical experience background will be an advantage
•	Experience with new customer development","- 福利制度：◆ 優秀的人才值得好的待遇，Festo每年依照市場情況，修改薪酬理念，以確保有足夠的條件去招攬市場人才：
1. 依照職位敘薪原則，提供具競爭力的薪資待遇
2. 依照不同職級，規劃出不同類型的獎金
3. 對於後勤單位，每年年底撥補年終獎金作為犒賞
◆ Festo尊重與遵循當地法規，依照勞基法的規定足額投保保險，保障員工權益
1. 足額提撥勞保/健保/新制退休金
2. 另有公司團保規劃，眷屬一同享受保險福利
3. 意外險等險種
◆ 除了良好的薪酬規劃之外，員工活動亦是Festo關心的一部分，因此我們每年度規劃一系列的員工福利制度：
1. 年度國內旅遊
2. 員工慶生會
3. 家庭日
4. 成立職工福利委員會，讓員工享有更多福利
5. 年度尾牙舉辦
◆ 訓練發展，好的訓練發展規劃，將讓員工與公司一併成長，Festo於大中華區的總部(上海)規劃一系列的必修與選修課程，提供員工快速進入並適應自動化工業產業。
1.新人業務職前培訓，讓業務新人直接到上海接受最直接的職前訓練，除了可以學習到業務技巧/ 商務談判/ 行銷手法之外，更能直接體會到Festo的文化薰陶。
2.專業訓練：訓練部門每月依照需求提供不同的選擇課程，員工可依照需求報名
3.外部訓練，依照不同的部門需求，我們提供相對的外訓支持。
◆ Festo依照台灣市場狀況，提供多元化的請 / 休假制度，讓員工可以依照個人需求使用休假：
1.平日上班時間為08:30~17:30，中午休息1個小時，上班時間可彈性調整提早或晚到30分鐘。
2. 公司施行週休二日
3. 新人入職滿一年，提供優於勞基法的帶薪年假使用(12天起跳)
4. 一年30天的病假中，前7天為不扣薪的全薪病假
◆ 除了具競爭力的薪資、良好的休假制度以及訓練系統之外，另外也規劃了許多補助供員工申請，其中包含：
1.結婚禮金
2.生育津貼
3.旅遊補助
4.住院慰問金
5.公務手機通話費補助
6.出差加保旅遊不便險",https://www.104.com.tw/job/3cfnj
2023/11/22,半導體設備工程師(通日文或英文)(新竹),台灣芝浦先進科技股份有限公司,"液晶顯示面板生產設備/半導體生產設備/光碟生產設備/
各式自動化機器設備之維修服務.","產品售後技術服務,半導體設備工程師,半導體工程師","月薪32,000~45,000元",全職,新竹市,不需負擔管理責任,需出差，一年累積時間未定,日班，9:00~17:20(工時 7小時15分)，需輪班,週休二日,不限,2~3人,1年以上,專科、大學、碩士,"自然科學學科類,工程學科類,工業技藝及機械學科類","日文--聽 /中等、說 /中等、讀 /中等、寫 /中等,英文--聽 /中等、說 /中等、讀 /中等、寫 /中等",不拘,不拘,"- 其他：1. 有工作熱忱/認真負責
2. 可國/內外出差
3. 有汽車駕照
4. 對機台裝機/維修有興趣
5. 日文能力檢定3級以上，通英文尤佳
6. 1年以上半導體相關產業經驗。
7. 可以配合輪流on-call或加班者","- 福利制度：1. 勞、健保、勞工退休金提繳
2. 享團保(含眷屬)
3. 一年2次(夏季及年終)之優渥獎金
4. 年度旅遊補助金
5. 每年健康檢查補助金
6. 週休二日
7. 有日本原廠學習機會
8. 享特休及各項福利",https://www.104.com.tw/job/6invo
